CODVIA,CIVICO,BARRATO,X,Y,DENOMINAZIONE,CATEGORIA,GRADO,SOTTOTIPO,TIPO_U,MATRICE,NUM_ISCR,COD_SEDE,INDIRIZZO,TIPO,PARITARIA,NUM_CLASSI,TIPO_IST,ATTIVITA,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location,ANNOSCOL,CODICE
2396,110,,1518761.453,5038187.196,ITIS E.MOLINARI SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,137,4074,VIA CRESCENZAGO 110,STATALE,PARITARIA,8,ISTITUTO TECNICO INDUSTRIALE STATALE SERALE,SERALE,3,18,CIMIANO - ROTTOLE - Q.RE FELTRE,9.239767974,45.4967836,"(45.4967835975419, 9.23976797400367)",,
5422,35,,1513507.779,5028526.087,IPGS V.KANDINSKY,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO PROFESSIONALE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,474,4078,VIA BARONI COSTANTINO 35,STATALE,PARITARIA,24,ISTITUTO PROFESSIONALE GRAFICO STATALE,DIURNO,5,41,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,9.172263526,45.40994512,"(45.4099451194148, 9.17226352588129)",,
5436,7,,1514094.634,5030666.412,ITIS E. TORRICELLI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,621,4079,VIA DINI ULISSE 7,STATALE,PARITARIA,28,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,5,42,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,9.179824002,45.42919875,"(45.4291987541814, 9.17982400171202)",,
6306,130,,1508595.279,5035070.116,ITIS M.CURIE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,690,4080,VIA F.LLI ZOIA 130,STATALE,PARITARIA,34,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,7,56,FORZE ARMATE,9.109599938,45.46892546,"(45.4689254581449, 9.1095999378222)",,
6134,11,,1511049.089,5035978.311,IISS CONTI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,648,4081,VIA DE VINCENTI ANGELO 11,STATALE,PARITARIA,30,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,7,57,SAN SIRO,9.141010378,45.47706576,"(45.4770657649475, 9.14101037791124)",,
6571,31,,1510254.594,5035353.881,ITIS GALILEO GALILEI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,690,4082,VIA PARAVIA PIER ALESSANDRO 31,STATALE,PARITARIA,34,ISTITUTO TECNICO INDUSTRIALE STATALE,DIURNO,7,60,STADIO - IPPODROMI,9.130832449,45.47145735,"(45.4714573473606, 9.13083244916406)",,
1539,65,,1512244.639,5040975.286,IISS GIUSEPPE LUIGI LAGRANGE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,486,4084,VIA LITTA MODIGNANI ALESSANDRO 65,STATALE,PARITARIA,23,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,9,81,BOVISASCA,9.156430744,45.52202334,"(45.5220233391383, 9.15643074403664)",,
4034,12,,1515848.623,5033651.797,ITA  LINDBERGH FLYING SCHOOL,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,206,4085,VIA CURTATONE 12,ENTE PRIVATO LAICO,PRIVATA PARITARIA,10,ISTITUTO TECNICO,DIURNO,1,4,GUASTALLA,9.202341777,45.45603277,"(45.4560327716406, 9.20234177741176)",,
515,9,,1514333.429,5033946.922,ITC C.CATTANEO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,116,4087,PZA VETRA 9,STATALE,PARITARIA,6,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,1,1,DUOMO,9.182971863,45.45872181,"(45.4587218144102, 9.18297186341796)",,
515,9,,1514333.429,5033946.922,ITC CIVICO SERALE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,181,4088,PZA VETRA 9,COMUNALE,PARITARIA,10,ISTITUTO TECNICO COMMERCIALE CIVICO SERALE,SERALE,1,1,DUOMO,9.182971863,45.45872181,"(45.4587218144102, 9.18297186341796)",,
604,71,,1513299.809,5034706.767,ITC COLLEGIO S.CARLO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,35,3024,CSO MAGENTA 71,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,3,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,7,MAGENTA - S. VITTORE,9.169772284,45.46558154,"(45.4655815409406, 9.16977228438613)",,
5182,9,,1514095.059,5033721.907,ITC GIACOMO LEOPARDI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,84,3028,VIA ARENA 9,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,6,PORTA TICINESE - CONCA DEL NAVIGLIO,9.179916668,45.45670129,"(45.4567012910427, 9.17991666835773)",,
3020,39,,1515990.883,5034504.977,ITC LEONARDO DA VINCI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,14,4097,VIA CORRIDONI FILIPPO 39,ENTE PRIVATO LAICO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,4,GUASTALLA,9.204188874,45.46370899,"(45.4637089887177, 9.20418887351901)",,
4103,34,,1515793.938,5033741.507,ITC EDMONDO DE AMICIS,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,67,3027,VIA LAMARMORA ALFONSO 34,ENTE PRIVATO LAICO,PRIVATA PARITARIA,6,ISTITUTO TECNICO COMMERCIALE,DIURNO,1,4,GUASTALLA,9.20164526,45.45684148,"(45.4568414841477, 9.20164526035925)",,
1360,71,,1514978.214,5038100.626,ITC ZAPPA,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,412,4183,VLE MARCHE 71,STATALE,PARITARIA,20,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,9,11,ISOLA,9.191344971,45.49609562,"(45.4960956175364, 9.19134497116544)",,
1108,51,,1515533.393,5037159.686,ITC MARIA CONSOLATRICE,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,78,3036,VIA GIOIA MELCHIORRE 51,ENTE PRIVATO RELIGIOSO,PRIVATA PARITARIA,5,ISTITUTO TECNICO COMMERCIALE,DIURNO,2,11,ISOLA,9.19842074,45.48761419,"(45.4876141853097, 9.1984207397984)",,
4091,38,,1516926.998,5033160.117,ITC P. VERRI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,606,4109,VIA LATTANZIO 38,STATALE,PARITARIA,28,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,4,28,UMBRIA - MOLISE - CALVAIRATE,9.216116695,45.45158195,"(45.4515819494722, 9.21611669522363)",,
2281,4,,1517156.003,5037345.471,ITC MILANO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PRIVATI ESISTENTI,145,4111,VIA GUINIZELLI GUIDO 4,ENTE PRIVATO LAICO,PRIVATA PARITARIA,6,ISTITUTO TECNICO COMMERCIALE,DIURNO,2,20,LORETO - CASORETTO - NOLO,9.219191056,45.48924853,"(45.4892485269868, 9.21919105590881)",,
6212,25,,1512846.964,5034395.542,ITC NICOLA MORESCHI,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO TECNICO,STUDENTI,SERVIZI PUBBLICI ESISTENTI,746,4112,VLE SAN MICHELE DEL CARSO 25,STATALE,PARITARIA,34,ISTITUTO TECNICO COMMERCIALE STATALE,DIURNO,1,7,MAGENTA - S. VITTORE,9.163971559,45.46278865,"(45.4627886547616, 9.16397155918112)",,
1539,55,,1512581.819,5041068.321,IISS VILFREDO FEDERICO PARETO,ISTRUZIONE,SCUOLE SECONDARIE DI SECONDO GRADO,ISTITUTO ISTRUZIONE SUPERIORE,STUDENTI,SERVIZI PUBBLICI ESISTENTI,430,4114,VIA LITTA MODIGNANI ALESSANDRO 55,STATALE,PARITARIA,20,ISTITUTO ISTRUZIONE SUPERIORE STATALE,DIURNO,9,81,BOVISASCA,9.160750514,45.52285476,"(45.5228547561716, 9.16075051361466)",,
